1,锦江国际集团,"锦江国际集团是上海市国资委全资控股的中国规模最大的综合性酒店旅游企业集团之一，注册资本20亿元。“锦江”是具有80多年历史的中国民族品牌，中国驰名商标、上海市著名商标，获中国商标金奖。集团围绕“深耕国内、全球布局、跨国经营”战略，加快传统业态创新转型，着力提升品牌、质量、效益，经济总量、产业规模都取得重大突破。集团先后收购法国卢浮酒店集团、铂涛集团、维也纳酒店集团并战略投资法国雅高酒店集团，2018年集团又成功收购丽笙酒店管理集团。截至2020年底,集团投资和管理酒店已超过10000家，100万间客房，拥有“J”“岩花园”“锦江”“昆仑”“丽笙Radisson”“郁锦香Golden Tulip”“锦江都城”“康铂Campanile”“麗枫”“维也纳”等高、中端及“7天”“锦江之星”等经济型品牌40余个，分布中国31个省（直辖市、自治区）和世界120多个国家，会员超过1.5亿， 跻身全球酒店集团300强第2位。",锦江酒店APP,http://www.jinjiang.com/
2,华住酒店集团,"华住集团是中国领先的多品牌酒店集团，在全国400多座城市，运营4,000多家酒店，并拥有80,000多名员工。自2005年创立以来，华住始终以专业而高效的智能化管理系统，专注于为客户提供高品质和多元化的出行体验，成就美好生活。自2014年，华住集团与雅高酒店集团形成长期战略联盟，共同开辟在华酒店业务。目前，华住运营的酒店品牌已经覆盖多元市场，包括高端市场的美爵、禧玥、花间堂，中端市场的诺富特、美居、漫心、全季、桔子水晶、桔子精选、CitiGO、星程、宜必思尚品，以及大众市场的宜必思、汉庭优佳、汉庭、怡莱、海友等知名酒店品牌，满足从商务到休闲的个性化需求。以“成为世界级的伟大企业”为愿景的华住集团，在创始人季琦的带领下，已经成为中国发展最快的酒店集团之一。2010年，华住在美国纳斯达克成功上市。目前，集团位列美国Hotels杂志公布的全球酒店集团排名第9位，旗下汉庭品牌连续五年荣登BrandZ最具价值中国品牌100强。",华住会APP,https://www.huazhu.com/
3,首旅如家酒店集团,首旅如家酒店集团由原首旅酒店集团与如家酒店集团合并后成立，旗下拥有以住宿为核心的近20个品牌系列、近40个产品。截至2020年9月底，首旅如家酒店集团在国内逾400多个城市拥有4000余家酒店，覆盖“高端”、“中高端”、“商旅型”、“休闲度假”、“联盟酒店”等全系列酒店业务。首旅如家酒店集团专注核心住宿服务，实施“向存量要发展、向整合要发展、向创新要发展”的战略，持续发力中高端酒店市场。同时以开放、包容的心态与方式，积极跨界创新，打造一个面向未来，覆盖吃、住、行、游、购、娱的顾客价值生态圈。,首旅如家APP,https://www.bthhotels.com/
4,格林酒店集团,格林酒店集团（原格林豪泰酒店管理集团），是中国领先的酒店管理集团公司。截至2020年12月31日，在中国340+城市拥有5500多家酒店（含筹建）。集团旗下包括格林东方、格美、格雅、格菲、无眠、格林豪泰、格盟、格林公寓、格林魔都公寓、青皮树、贝壳、雅阁、澳斯特、都市花园、都市118精选、青年·都市迷你等15+优质酒店品牌，覆盖高端、中高端、中端以及经济型酒店市场，为合作伙伴和客人提供多元化选择。我们坚持提供“超健康、超舒适、超价值、超期望”的酒店产品和服务，并以辅助加盟合作伙伴从生意人发展成为大企业家，培养员工获得能力上的提升和职业上的发展为企业使命。,格美会APP,https://www.998.com/
5,东呈国际集团,东呈国际集团，是一家卓越的酒店集团，旗下共有15大酒店品牌。自2006年成立以来，东呈秉承“以客为尊、合作分享、激情专注、结果导向”的价值观，致力成为世界一流酒店集团。截至目前，集团旗下拥有超过3000家酒店（含筹建），客房数超过24万，分布于全球200多座城市，管理员工数量约7万，付费会员数超过3500万。,东呈会APP,https://www.dossen.com/
6,尚美生活集团,尚美生活集团于2010年在青岛创立，是集酒店、酒店快装、家居零售、餐饮、文化娱乐于一体的综合性集团。目前，集团旗下酒店数超过5000家，宝乐迪KTV200家，家居零售30家，餐饮门店300家，合计门店数突破5500家。会员数超过1亿。,心里美APP,http://www.1615.cn/
7,都市酒店集团,都市酒店集团是一家以精品酒店业为主，涉足多个领域的大型综合性企业。集团旗下拥有高端酒店品牌含舍hotel、中高端品牌含舍·美素酒店、Urban Garden Hotel（都市花园酒店），中端品牌都市118·精选连锁酒店、都市MINI·精选酒店；经济酒店品牌都市118连锁酒店、青年·都市迷你连锁酒店、单色连锁酒店、主题酒店品牌我的地盘主题酒店、myzone电竞酒店、都市星联等十一大酒店品牌以及MY ZONE COFFEE（我的地盘咖啡）咖啡品牌。都市酒店集团拥有雄厚的资本实力、强大的营销资源优势和品牌资源互补优势，在业内首次推出了"互联网酒店"业态。截至目前都市酒店集团旗下拥有连锁酒店3000多家门店，忠实会员数超过8000万，遍布全国。,都市酒店APP,http://www.118inns.com/
8,亚朵集团,亚朵集团秉承“人文、温暖、有趣”的产品哲学，依托住宿（酒店、公寓）产业，从经营房间到经营空间再到经营人群，致力于打造新中产品质生活入口，已成长为集新住宿、新文化、新消费为一体的生活方式品牌。亚朵旗下酒店品牌包含：亚朵酒店、亚朵轻居、亚朵S酒店、ZHotel、A.T.House、SAVHE萨和以及A.T.living。截至2020年8月3日，亚朵开业门店数583家，分布于174个城市，服务于超2000万亚朵会员，其中高端市场的规模占有率第一。随着亚朵酒店的版图日渐壮大，亚朵在国内酒店行业中的地位也得到了进一步提升。根据中国饭店协会发布的《2018中国酒店连锁发展与投资报告》，在2018年中国连锁酒店高端品牌规模10强排行榜，亚朵凭借门店数和客房数的绝对优势，位居该榜单第一位。,亚朵APP,http://www.yaduo.com/
9,开元酒店集团,开元酒店集团起步于1988年，规模位列全球酒店集团第18位，位列国内饭店集团全服务饭店规模第一，是中国领先的酒店集团之一。开元酒店集团旗下目前拥有开元名都、开元度假村、开元大酒店、方外、开元观堂、开元曼居、开元名庭、开元芳草地乡村酒店、开元颐居、芳草青青房车营地、开元森泊、开元美途、阿缇客和开元M酒店等14个品牌。迄今为止，公司管理和签约的酒店逾650家，客房总数逾11万间，分布在北京、上海、浙江、江苏、安徽等中国29个省级行政区，遍布全国130余个城市。开元酒店集团的经营宗旨是“为宾客提供东方文化和国际标准完美融合的服务”，务求使宾客无论下榻哪一家酒店，都能体验始终如一的开元品质，尽享殷切贴心的开元关怀。,开元商祺会APP,https://www.kaiyuanhotels.com/
10,住友酒店集团,住友酒店集团成立于2007年，总部位于浙江省杭州市。目前住友在全球四个国家和地区的100多个城市，拥有包括经济型和中高端定位的酒店超过1000家，旗下多业态品牌超过20个。住友以“住进YOU趣生活”为集团理念，多年来一直致力于打造广受年轻消费者喜爱的时尚酒店，目前全渠道会员数超过4000万，是业内极具创新精神和移动互联网基因的酒店集团。,住友生活APP,http://www.podinns.com/
11,美豪酒店集团,上海美豪酒店管理股份有限公司是中国领先的专注于中高端酒店领域的民族酒店品牌，秉持着"成为世界一流酒店公司，永远为顾客创造超值服务"的企业愿景，执着打造一家让中国人感到真正被尊重的民族酒店品牌公司，并致力于为每一位顾客提供高品质和多元化的出行验。历经20余年潜心经营，美豪酒店集团在产品模式和管理模式上持续优化，构建极具产品竞争力与品牌号召力的多品牌战略矩阵。美豪通过独创的增值服务模式以及持续创新的跨界空间场景，已发展成为拥有连锁酒店品牌雅致、丽致，R HOTEL，五星酒店品牌美嘉豪，四星酒店品牌美丽豪，轻奢酒店品牌东方新丽，精选酒店品牌怡致的综合酒店管理公司。,美豪酒店APP,http://mehoodhotels.com/
12,万豪国际集团,"万豪国际集团（Marriott International）是全球首屈一指的国际酒店管理公司，万豪拥有遍布全球 130个国家和地区的超过6,500 家酒店和30个品牌。万豪国际集团的总部位于美国马里兰州贝塞斯达，雇用约 300,000名员工。万豪酒店及度假酒店乃享誉全球的万豪国际旗下之旗舰品牌，拥有逾70年历史，酒店数目超过450家，遍布全球多个旅游热点，为各地旅客带来极尽难忘的住宿体验。殷勤亲切的服务和完备周全的设施，赢得每位旅客掌声。",万豪旅享家APP,https://www.marriott.com.cn/
13,希尔顿酒店集团,"希尔顿全球控股有限公司（Hilton Worldwide Holdings Inc.），其前身为希尔顿酒店集团公司（Hilton Hotels Corporation），为黑石集团旗下附属公司，是一家跨国酒店管理公司。截至2013年12月，希尔顿品牌在84个国家拥有4080家酒店，包括超过672,000间客房。希尔顿酒店集团公司2010年在《福布斯》之“The Largest Private Companies”中为第38位的美国私营公司。",希尔顿荣誉客会APP,https://www.hilton.com.cn/
14,洲际酒店集团,"洲际酒店集团（InterContinental Hotels Group PLC，IHG)是一个全球化的酒店集团，在全球100多个国家和地区经营和特许经营着超过4,400家酒店，超过660,000间客房。“洲际”旗下的酒店品牌有洲际酒店及度假村（InterContinental Hotels & Resorts），假日酒店及假日度假酒店（Holiday Inn），皇冠假日酒店（Crowne Plaza Hotels），智选假日酒店（Holiday Inn Express），英迪格酒店(Indigo) 。洲际集团成立于1777年，是目前全球最大及网络分布最广的专业酒店管理集团，拥有洲际、皇冠假日、假日酒店等多个国际知名酒店品牌和超过60年国际酒店管理经验。同时洲际酒店集团也是世界上客房拥有量最大（高达650,000间）、跨国经营范围最广，分布将近100个国家，并且在中国接管酒店最多的超级酒店集团。包括中国大陆25个省、区、市。2018年12月，世界品牌实验室发布《2018世界品牌500强》榜单，洲际酒店排名第456。",IHG APP,https://www.ihg.com.cn/
